Wavelength(nm)	Transmittance_Experimental(%)	Transmittance_Fit(%)	Refractive_index	Extintion_coefficient
523	93.2251	93.2146	1.46269	0
524	93.2263	93.2149	1.46264	0
525	93.2274	93.2151	1.46259	0
526	93.2285	93.2154	1.46255	0
527	93.2296	93.2156	1.4625	0
528	93.2307	93.2158	1.46245	0
529	93.2318	93.216	1.4624	0
530	93.2328	93.2163	1.46236	0
531	93.2339	93.2165	1.46231	0
532	93.235	93.2167	1.46226	0
533	93.236	93.2169	1.46222	0
534	93.2371	93.2171	1.46217	0
535	93.2382	93.2173	1.46213	0
536	93.2392	93.2175	1.46208	0
537	93.2402	93.2177	1.46204	0
538	93.2413	93.2179	1.46199	0
539	93.2423	93.2181	1.46195	0
540	93.2433	93.2183	1.4619	0
541	93.2443	93.2185	1.46186	0
542	93.2454	93.2187	1.46181	0
543	93.2464	93.2189	1.46177	0
544	93.2474	93.2191	1.46173	0
545	93.2484	93.2194	1.46168	0
546	93.2494	93.2196	1.46164	0
547	93.2503	93.2199	1.4616	0
548	93.2513	93.2201	1.46156	0
549	93.2523	93.2204	1.46151	0
550	93.2533	93.2207	1.46147	0
551	93.2542	93.221	1.46143	0
552	93.2552	93.2213	1.46139	0
553	93.2562	93.2216	1.46135	0
554	93.2571	93.222	1.46131	0
555	93.2581	93.2223	1.46127	0
556	93.259	93.2226	1.46123	0
557	93.26	93.223	1.46119	0
558	93.2609	93.2234	1.46115	0
559	93.2618	93.2238	1.46111	0
560	93.2627	93.2242	1.46107	0
561	93.2637	93.2246	1.46103	0
562	93.2646	93.2251	1.46099	0
563	93.2655	93.2255	1.46095	0
564	93.2664	93.226	1.46091	0
565	93.2673	93.2265	1.46087	0
566	93.2682	93.227	1.46083	0
567	93.2691	93.2275	1.4608	0
568	93.27	93.228	1.46076	0
569	93.2709	93.2286	1.46072	0
570	93.2717	93.2292	1.46068	0
571	93.2726	93.2297	1.46065	0
572	93.2735	93.2303	1.46061	0
573	93.2744	93.231	1.46057	0
574	93.2752	93.2316	1.46054	0
575	93.2761	93.2322	1.4605	0
576	93.2769	93.2329	1.46046	0
577	93.2778	93.2336	1.46043	0
578	93.2786	93.2343	1.46039	0
579	93.2795	93.235	1.46036	0
580	93.2803	93.2357	1.46032	0
581	93.2812	93.2365	1.46029	0
582	93.282	93.2372	1.46025	0
583	93.2828	93.238	1.46022	0
584	93.2836	93.2388	1.46018	0
585	93.2845	93.2396	1.46015	0
586	93.2853	93.2404	1.46011	0
587	93.2861	93.2413	1.46008	0
588	93.2869	93.2421	1.46004	0
589	93.2877	93.243	1.46001	0
590	93.2885	93.2438	1.45998	0
591	93.2893	93.2447	1.45994	0
592	93.2901	93.2456	1.45991	0
593	93.2909	93.2466	1.45988	0
594	93.2917	93.2475	1.45984	0
595	93.2925	93.2484	1.45981	0
596	93.2933	93.2494	1.45978	0
597	93.294	93.2504	1.45975	0
598	93.2948	93.2513	1.45971	0
599	93.2956	93.2523	1.45968	0
600	93.2963	93.2533	1.45965	0
601	93.2971	93.2544	1.45962	0
