Wavelength(nm)	Transmittance_Experimental(%)	Transmittance_Fit(%)	Refractive_index	Extintion_coefficient
441.89	94.092	91.9256	1	0
442.67	92.294	91.9351	1	0
443.45	91.505	91.9446	1	0
444.23	92.002	91.9539	1	0
445.01	91.79	91.9632	1	0
445.79	93.002	91.9724	1	0
446.57	92.674	91.9816	1	0
447.35	92.674	91.9907	1	0
448.12	92.155	91.9996	1	0
448.9	93.973	92.0086	1	0
449.68	94.015	92.0175	1	0
450.46	93.085	92.0263	1	0
451.24	92.22	92.0351	1	0
452.02	92.507	92.0439	1	0
452.8	92.27	92.0525	1	0
453.58	93.589	92.0611	1	0
454.35	92.782	92.0696	1	0
455.13	93.761	92.0781	1	0
455.91	93.357	92.0865	1	0
456.69	92.731	92.0949	1	0
457.47	93.478	92.1032	1	0
458.24	93.226	92.1114	1	0
459.02	93.278	92.1196	1	0
459.8	91.838	92.1278	1	0
460.58	90.573	92.1359	1	0
461.36	92.276	92.1439	1	0
462.13	92.962	92.1518	1	0
462.91	92.25	92.1598	1	0
463.69	92.732	92.1677	1	0
464.47	93.597	92.1755	1	0
465.24	90.699	92.1832	1	0
466.02	91.845	92.1909	1	0
466.8	91.986	92.1986	1	0
467.57	92.419	92.2062	1	0
468.35	92.547	92.2138	1	0
469.13	92.672	92.2213	1	0
469.91	92.644	92.2288	1	0
470.68	92.321	92.2361	1	0
471.46	92.848	92.2435	1	0
472.24	92.019	92.2509	1	0
473.01	92.101	92.2581	1	0
473.79	92.895	92.2654	1	0
474.57	93.158	92.2726	1	0
475.34	91.423	92.2797	1	0
476.12	93.481	92.2868	1	0
476.9	93.333	92.2939	1	0
477.67	93.288	92.3008	1	0
478.45	92.614	92.3078	1	0
479.22	93.982	92.3146	1	0
480	92.853	92.3216	1	0
480.78	92.577	92.3284	1	0
481.55	93.381	92.3351	1	0
482.33	93.089	92.3419	1	0
483.1	92.532	92.3486	1	0
483.88	92.371	92.3553	1	0
484.66	92.893	92.3619	1	0
485.43	92.411	92.3684	1	0
486.21	92.831	92.375	1	0
486.98	93.022	92.3815	1	0
487.76	92.999	92.388	1	0
488.53	92.617	92.3943	1	0
489.31	92.114	92.4007	1	0
490.08	91.296	92.407	1	0
490.86	91.908	92.4134	1	0
491.63	92.903	92.4196	1	0
492.41	92.442	92.4259	1	0
493.18	92.453	92.432	1	0
493.96	92.161	92.4382	1	0
494.73	92.488	92.4443	1	0
495.51	92.244	92.4504	1	0
496.28	93.275	92.4564	1	0
497.06	92.285	92.4624	1	0
497.83	91.854	92.4683	1	0
498.6	92.663	92.4742	1	0
