Wavelength(nm)	Transmittance_Experimental(%)	Transmittance_Fit(%)	Refractive_index	Extintion_coefficient
448.9	93.973	92.7076	1.48159	0
449.68	94.015	92.7082	1.4815	0
450.46	93.085	92.7087	1.4814	0
451.24	92.22	92.7093	1.4813	0
452.02	92.507	92.7098	1.48121	0
452.8	92.27	92.7103	1.48111	0
453.58	93.589	92.7108	1.48101	0
454.35	92.782	92.7113	1.48092	0
455.13	93.761	92.7118	1.48083	0
455.91	93.357	92.7123	1.48073	0
456.69	92.731	92.7127	1.48064	0
457.47	93.478	92.7132	1.48055	0
458.24	93.226	92.7136	1.48045	0
459.02	93.278	92.7141	1.48036	0
459.8	91.838	92.7146	1.48027	0
460.58	90.573	92.7151	1.48018	0
461.36	92.276	92.7155	1.48009	0
462.13	92.962	92.716	1.48	0
462.91	92.25	92.7165	1.47991	0
463.69	92.732	92.7171	1.47982	0
464.47	93.597	92.7176	1.47973	0
465.24	90.699	92.7181	1.47965	0
466.02	91.845	92.7187	1.47956	0
466.8	91.986	92.7193	1.47947	0
467.57	92.419	92.7199	1.47939	0
468.35	92.547	92.7206	1.4793	0
469.13	92.672	92.7212	1.47922	0
469.91	92.644	92.7219	1.47913	0
470.68	92.321	92.7226	1.47905	0
471.46	92.848	92.7234	1.47896	0
472.24	92.019	92.7242	1.47888	0
473.01	92.101	92.725	1.4788	0
473.79	92.895	92.7258	1.47871	0
474.57	93.158	92.7267	1.47863	0
475.34	91.423	92.7276	1.47855	0
476.12	93.481	92.7285	1.47847	0
476.9	93.333	92.7295	1.47839	0
477.67	93.288	92.7305	1.47831	0
478.45	92.614	92.7315	1.47823	0
479.22	93.982	92.7326	1.47815	0
480	92.853	92.7337	1.47807	0
480.78	92.577	92.7348	1.47799	0
481.55	93.381	92.736	1.47791	0
482.33	93.089	92.7372	1.47783	0
483.1	92.532	92.7385	1.47776	0
483.88	92.371	92.7398	1.47768	0
484.66	92.893	92.7411	1.4776	0
485.43	92.411	92.7425	1.47753	0
486.21	92.831	92.7439	1.47745	0
486.98	93.022	92.7453	1.47738	0
487.76	92.999	92.7468	1.4773	0
488.53	92.617	92.7483	1.47723	0
489.31	92.114	92.7499	1.47715	0
490.08	91.296	92.7515	1.47708	0
490.86	91.908	92.7531	1.477	0
491.63	92.903	92.7548	1.47693	0
492.41	92.442	92.7565	1.47686	0
493.18	92.453	92.7582	1.47679	0
493.96	92.161	92.76	1.47671	0
494.73	92.488	92.7618	1.47664	0
495.51	92.244	92.7636	1.47657	0
496.28	93.275	92.7655	1.4765	0
497.06	92.285	92.7674	1.47643	0
497.83	91.854	92.7694	1.47636	0
498.6	92.663	92.7713	1.47629	0
499.38	94.136	92.7733	1.47622	0
500.15	92.729	92.7754	1.47615	0
500.93	92.577	92.7774	1.47608	0
501.7	92.294	92.7795	1.47601	0
502.48	92.009	92.7817	1.47594	0
503.25	92.545	92.7838	1.47588	0
504.02	91.986	92.786	1.47581	0
504.8	92.585	92.7882	1.47574	0
505.57	93.001	92.7904	1.47568	0
506.34	92.184	92.7926	1.47561	0
507.12	92.973	92.7949	1.47554	0
507.89	93.328	92.7972	1.47548	0
508.67	93.138	92.7995	1.47541	0
509.44	93.267	92.8019	1.47535	0
510.21	94.278	92.8042	1.47528	0
510.99	94.022	92.8066	1.47522	0
511.76	92.962	92.809	1.47515	0
512.53	92.524	92.8114	1.47509	0
513.3	92.646	92.8138	1.47503	0
514.08	94.011	92.8163	1.47496	0
514.85	91.878	92.8187	1.4749	0
515.62	93.663	92.8212	1.47484	0
516.4	93.054	92.8237	1.47477	0
517.17	92.934	92.8262	1.47471	0
517.94	93.006	92.8286	1.47465	0
518.71	93.049	92.8312	1.47459	0
519.49	92.784	92.8337	1.47453	0
520.26	92.734	92.8362	1.47447	0
521.03	93.071	92.8387	1.47441	0
521.8	92.148	92.8413	1.47435	0
522.58	93.195	92.8439	1.47429	0
523.35	93.35	92.8464	1.47423	0
524.12	93.9	92.8489	1.47417	0
524.89	92.859	92.8515	1.47411	0
525.66	92.459	92.854	1.47405	0
526.44	93.565	92.8566	1.47399	0
527.21	92.853	92.8592	1.47393	0
527.98	92.036	92.8617	1.47387	0
528.75	93.05	92.8643	1.47382	0
529.52	94.347	92.8668	1.47376	0
530.29	92.507	92.8694	1.4737	0
531.07	93.128	92.8719	1.47364	0
531.84	92.522	92.8745	1.47359	0
532.61	93.736	92.877	1.47353	0
533.38	93.938	92.8795	1.47348	0
534.15	92.983	92.882	1.47342	0
534.92	93.122	92.8845	1.47336	0
535.69	92.968	92.887	1.47331	0
536.46	92.266	92.8895	1.47325	0
537.23	92.123	92.892	1.4732	0
538	92.221	92.8945	1.47314	0
538.78	91.987	92.8969	1.47309	0
